3,Goods,-0.6,1.9,2.4,17.9,14.4,-9.6,4.6,-1.7,-1.5,-2.3,-0.7,7.4,-0.3,3.5,3.4,-1.2,3.1,5.6,6.2
4,Durable goods,-1.9,3.9,3.3,31,14.7,-24.8,8.6,0.1,-2.2,-1.9,-2,17.1,-0.3,4.2,2.9,-1.8,5.5,7.6,12.4
5,Nondurable goods,0.1,0.8,1.9,10.9,14.2,0.4,2.5,-2.7,-1.2,-2.5,0.1,2.5,-0.4,3.1,3.6,-0.8,1.7,4.6,3.1
6,Services,5,2.9,2.9,5.4,13.9,10.4,4.3,2.4,4.7,3.5,2.2,3.8,1.6,2.1,3.5,3.4,2.7,2.8,3
7,Gross private domestic investment,6,0.1,4,-2.4,-6.4,16.3,28.3,7.4,-8.5,-5.7,5.8,-8.9,8,10.1,0.7,3.6,8.3,0.8,-5.6
8,Fixed investment,2.7,2.4,3.7,9.4,5.5,-2.1,2.9,8.5,2,-1.8,-1.9,3.1,8.6,2.6,3.5,6.5,2.3,2.1,-1.1
9,Nonresidential,7,6,3.6,9.6,8.9,-1.8,3.4,13.6,7.3,7.7,5.7,5.3,9.9,1.1,3.8,4.5,3.9,4,-3
10,Structures,3.6,10.8,3.5,8.8,0.6,-3.8,-9.5,10.9,8.8,9.2,9.8,14.9,16.4,1.7,6.5,6.3,0.2,-5,2.9
11,Equipment,4.4,3.5,3.4,5.3,8.7,-10.6,1.5,16.4,1.1,6.6,1.1,0.9,12.5,-1.1,0.7,0.3,9.8,10.8,-8.7
12,Intellectual property products,11.2,5.8,3.9,14.3,13.8,8.6,12.4,12.6,12.7,8,7.9,4.5,3.9,2.8,5.2,7.5,0.7,3.1,-0.5
13,Residential,-8.6,-8.3,4.2,8.7,-3.7,-3.4,1.2,-4.5,-11.6,-25.2,-22.8,-4.3,4.5,7.7,2.5,13.7,-2.8,-4.3,5.5
14,Change in private inventories,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
15,Net exports of goods and services,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
16,Exports,7.5,2.8,3.3,0.3,3.2,0.9,25.5,-4.6,12.7,14.5,-1.1,2,-4.8,4.9,6.2,1.9,1,9.6,-0.2
17,Goods,5.9,2.3,2.2,-1.2,1.2,-2.7,27.6,-9.4,10.9,20.3,-5.4,5.3,-10.9,7.5,5.3,-0.2,0.9,10.3,-4.6
18,Services,11.1,3.8,5.4,3.3,7.4,8.9,21.1,6.9,16.8,2.6,8.7,-4.5,8.8,0,8,6.1,1.2,8.4,8.5
19,Imports,8.6,-1.2,5.3,8.3,8.3,8.6,20.8,13.4,5.9,-5.4,-4.5,-0.8,-3.1,4.7,4.2,6.1,7.6,10.7,-1.9
20,Goods,6.7,-1.8,4.8,8,5.3,0.9,21.7,13.6,3.1,-8.2,-4,0.1,-5,5.1,1.8,6.5,8.4,10.7,-4.9
21,Services,17.8,1.6,7.4,9.9,25.5,55.3,16.6,12.4,20.4,8.1,-6.9,-4.8,5,2.6,14.8,4.8,4.3,11,10.9
