2,Compensation of employees,13436.7,14190.2,15007.4,14481.2,14823.7,14945.6,15036.1,15224
3,Wages and salaries,11123.1,11725.2,12389.3,11955.3,12251.0,12343.0,12404.1,12559.3
4,Private industries,9499.0,9992.5,10534.2,10174.7,10434.7,10499.7,10537.5,10665.0
5,Goods-producing industries,1744.2,1847.2,1924.2,1884.0,1928.3,1910.6,1919.9,1938.0
6,Manufacturing,1034.9,1084.0,1115.5,1102.8,1123.2,1107.1,1112.1,1119.4
7,Services-producing industries,7754.7,8145.2,8610.0,8290.7,8506.4,8589.1,8617.6,8727.0
8,"Trade, transportation, and utilities",1717.9,1797.8,1870.6,1823.9,1858.5,1870.4,1867.8,1885.7
9,Other services-producing industries,6036.9,6347.5,6739.4,6466.8,6648.0,6718.7,6749.7,6841.3
10,Government,1624.2,1732.8,1855.1,1780.7,1816.2,1843.3,1866.6,1894.4
11,Supplements to wages and salaries,2313.6,2464.9,2618.0,2525.9,2572.8,2602.6,2632.0,2664.7
12,Employer contributions for employee pension and insurance funds 2,1548.3,1643.9,1762.2,1687.4,1722.7,1750.3,1776.6,1799.3
13,Employer contributions for government social insurance,765.3,821.0,855.8,838.5,850.1,852.3,855.4,865.4
14,Proprietors' income with inventory valuation and capital consumption adjustments,1873.6,1949.0,2005.9,1970.1,1972.1,2002.3,2013.5,2035.5
15,Farm,95.9,71.3,45.2,50.2,38.5,41.1,46.4,54.7
16,Nonfarm,1777.6,1877.7,1960.7,1920.0,1933.6,1961.2,1967.1,1980.8
17,Rental income of persons with capital consumption adjustment,870.3,989.1,1056.9,1013.6,1046.1,1053.4,1055.7,1072.2
18,Personal income receipts on assets,3474.0,3822.9,3946.6,3919.1,3938.9,3950.2,3938.8,3958.3
19,Personal interest income,1634.9,1892.0,1964.6,1965.3,1951.0,1966.2,1966.3,1975.1
20,Personal dividend income,1839.2,1930.9,1981.9,1953.8,1988.0,1984.0,1972.4,1983.3
21,Personal current transfer receipts,4139.2,4268.0,4538.9,4276.5,4446.1,4512.3,4570.4,4626.6
22,Government social benefits to persons,4013.8,4146.5,4405.9,4156.5,4314.6,4380.1,4437.8,4491.1
23,Social security 3,1211.5,1357.0,1446.8,1374.0,1426.5,1439.7,1453.1,1467.9
24,Medicare 4,935.0,1009.5,1081.3,1035.3,1049.2,1067.1,1090.2,1118.5
25,Medicaid,814.4,878.1,926.7,856.2,904.8,924.7,932.4,944.8
26,Unemployment insurance,23.8,33.2,35.4,35.3,34.9,34.9,35.7,36.1
27,Veterans' benefits,168.8,196.9,219.1,206.7,211.7,216.7,221.5,226.3
28,Other,860.3,671.7,696.6,649.1,687.4,696.8,704.8,697.6
29,"Other current transfer receipts, from business (net)",125.4,121.6,133.0,120.0,131.5,132.3,132.6,135.5
30,"Less: Contributions for government social insurance, domestic",1704.8,1816.6,1897.2,1852.8,1882.9,1889.9,1897.7,1918.2
31,Less: Personal current taxes,3244.9,2855.7,3032.7,2894.3,2965.6,3005.4,3054.2,3105.4
32,Equals: Disposable personal income,18844.0,20546.8,21625.7,20913.5,21378.6,21568.6,21662.6,21893.0
33,Less: Personal outlays,18277.9,19579.6,20650.4,19971.3,20230.5,20507.5,20773.6,21090.2
34,Personal consumption expenditures,17690.8,18822.8,19825.3,19170.2,19424.8,19682.7,19938.4,20255.5
35,Goods,5939.1,6123.9,6243.3,6174.8,6148.9,6204.6,6265.1,6354.8
36,Durable goods,2078.0,2142.6,2167.4,2139.3,2127.3,2141.8,2168.4,2232.2
37,Nondurable goods,3861.0,3981.3,4075.9,4035.4,4021.5,4062.8,4096.7,4122.6
38,Services,11751.8,12698.9,13582.0,12995.4,13275.9,13478.1,13673.3,13900.7
39,Personal interest payments 5,334.4,493.1,551.2,532.2,534.4,551.7,560.5,558.2
40,Personal current transfer payments,252.6,263.7,273.9,268.9,271.4,273.1,274.7,276.5
41,To government,131.5,135.5,139.7,136.9,137.9,139.0,140.3,141.7
42,To the rest of the world (net),121.1,128.1,134.2,132.0,133.5,134.1,134.4,134.8
43,Equals: Personal saving,566.1,967.2,975.3,942.2,1148.1,1061.1,889.0,802.8
44,Personal saving as a percentage of disposable personal income,3.0,4.7,4.5,4.5,5.4,4.9,4.1,3.7
45,"Personal income excluding current transfer receipts, billions of chained (2017) dollars 6",15459.2,15880.4,16290.8,16078.6,16243.2,16274.7,16281.1,16366.7
46,"Total, billions of chained (2017) dollars 6",16229.4,17052.5,17510.3,17216.5,17451.8,17497.2,17506.4,17588.8
47,Current dollars,56356.0,60944.0,63565.0,61808.0,63041.0,63450.0,63594.0,64172.0
48,Chained (2017) dollars,48537.0,50580.0,51469.0,50882.0,51462.0,51473.0,51393.0,51555.0
49,"Population (midperiod, thousands) 7",334372.0,337141.0,340212.0,338360.0,339119.0,339929.0,340637.0,341164.0
r Revised,,,,,,,,,
"1. Personal income is also equal to national income less corporate profits with inventory valuation and capital consumption adjustments, taxes on production and imports less subsidies, contributions for government social insurance, net interest and miscellaneous payments, business current transfer payments (net), and current surplus of government enterprises, plus personal income receipts on assets, and personal current transfer receipts.",,,,,,,,,
2. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period.,,,,,,,,,
"3. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund.",,,,,,,,,
4. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.,,,,,,,,,
6. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.,,,,,,,,,
"7. Population is the total population of the United States, including the Armed Forces overseas and the institutionalized population.",,,,,,,,,
