4,Durable goods,6.8,6.6,3.3,7.1,16.6,-1.9,3.9,3.3.1,8.6,2.8,5.2,14.4,5.2.1,-1.5,5.8,5.8.1
5,Nondurable goods,2.8,2.6,3,3.4,8.6,0.1,0.8,1.9,3.8,1.8,3.1,5.6,6.8,-1.6,2.2,2.1
6,Services,1.9,2.2,1.7,-5.8,7.5,5,2.9,2.9,2,2,2.4,-5.1,8.4,3.2,2.8,3
7,Gross private domestic investment,4.4,5.8,3.2,-4.5,8.8,6,0.1,4,4.9,4.7,1.2,2.5,8.1,-0.5,2.2,1.7
8,Fixed investment,4.5,5.1,2.7,-1.9,7.3,2.7,2.4,3.7,5.5,3.3,2.9,1.1,3.8,1.6,4.4,2.4
9,Nonresidential,4.6,6.9,3.8,-4.6,6,7,6,3.6,5.6,5.6,3.1,-3.3,4.9,8.5,5,2.3
10,Structures,2.6,5.8,2.3,-9.2,-2.6,3.6,10.8,3.5,-0.4,3.5,5.9,-13.8,-1.2,9.7,9.7,1
11,Equipment,3.8,5.9,1,-10.1,6.7,4.4,3.5,3.4,7.5,3.3,-2.2,-3.5,1,6.1,3.1,2.8
12,Intellectual property products,6.9,8.9,8.2,4.5,10.2,11.2,5.8,3.9,7.2,9.9,7.8,3.3,12.3,10.3,4.1,2.6
13,Residential,4.3,-0.7,-0.9,7.7,10.9,-8.6,-8.3,4.2,5.1,-4.1,2.3,16.6,0.6,-16.4,2.5,2.8
14,Change in private inventories,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
15,Net exports of goods and services,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
16,Exports,4.1,2.9,0.5,-13.1,6.5,7.5,2.8,3.3,6.1,0.3,1.1,-9.9,7,5,2,3
17,Goods,4.1,4.2,0.2,-10.1,7.7,5.9,2.3,2.2,6.1,1.6,0.2,-4.5,5.6,3.4,1.5,1.4
18,Services,4.1,0.3,1.2,-18.7,4,11.1,3.8,5.4,6,-1.9,2.7,-19.5,10,8.6,2.9,6
19,Imports,4.7,4,1.2,-9,14.7,8.6,-1.2,5.3,5.8,3,-1.8,0,11.4,2,1.2,5.5
20,Goods,4.5,5.1,0.5,-5.9,14.5,6.7,-1.8,4.8,5.5,3.7,-2.6,5.1,8.7,0.8,0.4,5
21,Services,5.7,-0.6,4,-21.8,15.7,17.8,1.6,7.4,7.1,-0.1,1.5,-20.4,25.7,8,4.2,7.7
22,Government consumption expenditures and gross investment,0.6,2,3.9,3.4,-0.3,-1.1,3.9,3.4,1,1.9,4.8,1.3,-0.3,0.5,4.3,3.2
23,Federal,0.5,3.5,3.8,6.3,1.8,-3.2,2.9,2.6,1.4,3.5,4,5.1,0.7,-1,2.1,4.2
24,National defense,1,3.5,5.4,3,-1,-3.9,3.2,3.1,2.1,4.5,4.3,4.2,-4.8,-1.4,2.7,5.5
