2,"Agriculture, forestry, fishing, and hunting",0,3.8,5.2,4.6,-6.9,1.9,14.7,-6.5,-5.8,0.9,5.3,3.4,15.3,-4.9,2.1,5.6,23.8,-7.8,0.8
3,Mining,-9.3,33.6,1.0,-0.4,-20.0,-5.6,-13.9,-28.1,-16.0,32.9,59.1,36.5,57.6,13.8,-0.9,-10.5,-4.9,1.3,7.2
4,Utilities,1.8,4.9,0.0,-16.6,5.5,11.4,8.2,1.3,-2.9,-12.7,9.4,0.9,57.5,-31.8,16.3,-9.1,5.6,-1.0,11.5
5,Construction,-5.4,-2.3,5.2,4.2,5.3,-7.8,-8.4,8.2,-13.9,-16.8,-1.6,-1.6,1.9,9.5,3.4,8.3,5.2,-0.2,4.8
6,Manufacturing,0.9,0.3,2.8,5.8,5.0,0.2,15.4,-5.2,-4.5,0.2,1.8,-9.5,7.1,9.1,5.5,-6.5,8.2,3.2,0.7
7,Durable goods,2.4,-0.9,-0.5,8.2,3.9,-4.2,14.1,0.9,2.2,-3.9,0.4,-6.5,4.4,1.1,2.7,-10.4,5.8,3.0,-0.9
8,Nondurable goods,-0.6,1.6,6.6,3.1,6.3,5.3,16.6,-11.5,-11.3,4.9,3.2,-12.7,10.1,19.0,8.7,-1.8,10.9,3.5,2.5
9,Wholesale trade,-1.6,-0.5,0.8,-4.5,-4.1,-12.7,6.5,-2.0,-6.9,6.0,5.8,-1.1,-6.8,-1.4,-1.7,4.0,2.3,3.2,-0.9
10,Retail trade,-4.1,10.9,9.0,16.6,-16.8,-16.4,4.8,-16.3,3.6,9.6,18.1,9.6,1.3,23.3,12.3,6.7,-0.6,18.7,2.7
11,Transportation and warehousing,1.5,1.5,1.8,32.3,7.2,12.6,9.1,-7.2,-1.7,1.7,-0.3,1.6,3.1,3.5,0.4,0.9,0.4,4.2,5.1
12,Information,6.3,8.6,4.4,16.6,18.2,8.8,16.7,-4.1,4.8,7.8,7.2,9.7,8.2,15.2,2.3,2.0,1.6,6.2,1.7
13,"Finance, insurance, real estate, rental, and leasing",3.2,1.2,1.6,3.2,6.6,5.2,10.1,0.8,0.7,1.1,-2.3,4.6,-1.1,3.7,1.6,-0.1,3.8,0.7,2.8
14,Finance and insurance,-2.2,-0.9,1.9,-2.3,5.2,0.9,8.6,-8.3,-5.3,-2.3,-10.7,7.0,-4.2,6.6,2.8,-2.5,6.6,0.3,2.8
15,Real estate and rental and leasing,6.4,2.4,1.5,6.7,7.4,7.8,11.0,6.5,4.3,3.0,2.6,3.2,0.6,2.1,0.9,1.1,2.3,0.9,2.8
16,Professional and business services,8.6,2.6,2.7,14.8,14.1,14.8,13.8,5.5,4.9,6.5,5.2,0.2,0.7,1.0,3.6,4.2,1.9,2.0,2.6
17,"Professional, scientific, and technical services",8.1,4.1,3.7,16.3,17.6,19.0,11.8,2.4,4.3,6.7,6.3,2.4,4.2,2.1,2.6,5.7,2.8,3.6,4.6
18,Management of companies and enterprises,10.7,1.6,2.1,5.2,17.9,-2.7,19.2,7.6,18.5,7.3,4.4,-3.0,-4.1,2.2,2.3,7.6,-2.5,2.1,0.1
19,Administrative and waste management services,8.6,-0.5,0.4,17.3,3.7,15.6,15.6,12.1,-0.8,5.6,2.7,-3.1,-4.9,-2.4,6.9,-1.1,2.0,-2.0,-1.0
20,"Educational services, health care, and social assistance",4.8,4.7,4.3,-5.2,4.2,4.3,6.0,6.4,2.4,5.7,2.5,9.1,1.9,4.2,4.9,4.8,3.9,4.7,4.2
21,Educational services,6.1,2.1,1.9,10.3,10.6,10.8,4.6,5.9,5.2,5.7,2.0,0.7,-0.9,0.9,9.5,2.4,-6.1,4.9,1.9
22,Health care and social assistance,4.6,5.1,4.7,-7.4,3.2,3.4,6.2,6.5,1.9,5.7,2.6,10.4,2.3,4.7,4.2,5.2,5.4,4.6,4.6
23,"Arts, entertainment, recreation, accommodation, and food services",8.5,3.0,1.3,25.2,77.2,21.7,1.4,-5.0,17.8,4.9,-3.1,10.5,-1.9,0.7,-3.7,6.7,3.1,-0.6,-0.9
24,"Arts, entertainment, and recreation",19.4,4.3,5.5,48.0,14.9,31.1,16.4,11.7,37.8,13.4,5.0,2.1,7.4,-10.6,-9.1,19.3,24.6,-2.2,-2.3
25,Accommodation and food services,5.3,2.6,-0.1,18.4,103.4,19.0,-2.9,-9.7,11.9,2.2,-5.7,13.5,-4.8,4.7,-1.9,2.8,-3.5,0.0,-0.4
26,"Other services, except government",4.5,-5.0,-1.3,-10.6,18.5,8.3,0.2,7.5,3.2,0.0,-1.4,-9.0,-10.0,-8.0,5.0,-0.7,-1.8,1.9,-2.8
27,Government,1.6,2.1,1.9,0.3,2.2,5.2,-0.2,2.0,1.1,0.6,2.1,3.3,1.9,2.2,2.7,1.9,0.8,2.1,2.7
28,Federal,-0.5,0.3,0.7,-1.6,2.9,-0.1,-1.0,2.2,-4.4,-1.7,1.1,1.9,1.7,-2.3,1.0,1.2,1.1,1.1,1.8
29,State and local,2.7,3.0,2.5,1.2,1.8,7.8,0.2,1.9,3.8,1.7,2.5,3.9,1.9,4.4,3.5,2.2,0.6,2.5,3.1
30,Private goods-producing industries 1,-1.7,2.6,3.4,4.9,2.3,-2.2,6.1,-4.8,-8.3,-1.2,5.7,-3.2,9.7,8.7,4.2,-2.6,6.9,1.5,2.3
31,Private services-producing industries 2,3.7,3.1,2.8,6.8,8.2,4.6,9.0,-0.6,2.3,4.1,3.0,4.3,0.9,3.7,3.0,2.6,2.4,3.6,2.4
