3,Goods,8.6,1.2,-0.4,5.6,8.7,7.3,10.6,12,10.5,2.4,0.2,0.8,0.6,0.5,-1.6,-0.5,0.7,-1.6.1,-0.4.1
4,Durable goods,6.5,-0.8,-2.1,1.4,13.8,9.5,9.6,9,1.2,2.9,-1.4,-0.5,-0.3,-4.3,-3.2,-0.5,-2.6,-2.4,-0.1
5,Nondurable goods,9.9,2.3,0.5,8,5.9,6.1,11.2,13.7,16,2.2,1.1,1.4,1.1,3.2,-0.7,-0.5,2.5,-1.2,-0.5
6,Services,5.5,5.1,3.9,4.1,5.2,4.8,4.9,5.6,6.1,5.9,6,5.6,4.1,3.8,3.2,5.3,3.4,3,3.7
7,Gross private domestic investment,7.8,3.2,1.7,2.5,3.1,6.2,8.1,9.7,9.3,7.2,3.6,3.8,-1,1.7,2.2,0.9,2.5,3,1.6
8,Fixed investment,8,3.3,1.8,2.8,3.9,7,8.2,9.7,9.8,7,3.8,3.5,-0.1,1.4,2.3,0.9,2.6,3.2,1.6
9,Nonresidential,6.1,3.5,1.6,-0.2,0.3,4.3,6.8,6.9,8,6.5,3.4,5.5,0.2,0.5,1.7,1.3,2.3,3.1,1.5
10,Structures,16.1,5.5,-0.2,0.5,6.1,9,23.7,17.2,17.9,17,8.1,6,-1.1,-3.8,3.4,-2,0.3,1.9,-0.6
11,Equipment,6.2,4.6,2.2,2.3,-2.9,5.3,5.3,7.7,9,6.4,5.9,7,0.2,2.5,1.1,3.8,1.7,2.5,1
12,Intellectual property products,1.1,1.4,2.2,-3.1,0.4,1,0.5,1.2,2.3,1.3,-1.5,3.9,1,1.1,1.2,1,4,4.4,3.2
13,Residential,13.8,2.8,2.4,11.8,14.9,15.1,12.5,18.1,15,8.7,5.5,-2.9,-1.2,4.9,4.5,-0.4,3.5,3.5,1.9
14,Change in private inventories,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
15,Net exports of goods and services,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
16,Exports,9.8,-1.6,0.9,20.7,18.5,9.7,6.7,18,19.9,-9.1,-5.9,-0.1,-3.6,4.1,-2.1,2.5,2.7,-0.9,0.2
17,Goods,11.6,-4.3,-0.3,26.1,24,11.1,7.4,23.2,26.5,-13.9,-11.2,-3,-6.4,4.4,-3.4,0.8,2.3,-3,-1.1
