Unnamed: 0,Percentage points at annual rates:,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2,Personal consumption expenditures,2.06,1.72,1.87,6.1,9.04,2.11,3.0,0.64,1.71,1.02,0.81,3.27,0.65,1.72,2.33,1.3,1.9,2.48,2.7
3,Goods,-0.14,0.42,0.51,3.8,3.19,-2.38,1.05,-0.41,-0.37,-0.54,-0.15,1.59,-0.08,0.76,0.73,-0.25,0.63,1.18,1.3
4,Durable goods,-0.16,0.31,0.25,2.26,1.2,-2.43,0.69,0.01,-0.18,-0.15,-0.16,1.24,-0.03,0.32,0.22,-0.13,0.4,0.54,0.87
5,Motor vehicles and parts,-0.2,0.08,-0.02,1.18,0.48,-1.91,0.16,0.08,-0.13,-0.16,-0.05,0.75,-0.19,-0.16,-0.15,-0.2,0.16,0.22,0.46
6,Furnishings and durable household equipment,-0.07,0.03,0.07,0.52,0.06,-0.28,0.01,-0.11,-0.01,-0.04,0.01,0.1,-0.03,0.09,0.07,0.0,0.13,0.15,0.09
7,Recreational goods and vehicles,0.06,0.18,0.15,0.35,0.42,-0.25,0.38,0.07,-0.11,0.06,-0.03,0.33,0.21,0.34,0.21,-0.04,0.11,0.16,0.3
8,Other durable goods,0.04,0.01,0.05,0.2,0.24,0.01,0.15,-0.03,0.07,-0.01,-0.09,0.05,-0.01,0.05,0.09,0.1,0.0,0.02,0.03
9,Nondurable goods,0.02,0.12,0.27,1.54,2.0,0.05,0.36,-0.42,-0.19,-0.38,0.01,0.36,-0.05,0.44,0.51,-0.12,0.23,0.63,0.42
10,Food and beverages purchased for off-premises consumption,-0.11,-0.08,0.07,0.72,0.33,-0.05,0.03,-0.17,-0.28,-0.27,-0.07,-0.1,-0.04,0.09,0.08,-0.01,0.11,0.14,0.09
11,Clothing and footwear,-0.01,0.02,0.03,0.52,0.66,-0.14,-0.02,-0.17,0.12,-0.05,0.0,0.09,-0.11,0.09,0.07,0.05,-0.06,0.03,0.09
12,Gasoline and other energy goods,0.02,0.02,-0.01,0.17,0.44,0.18,0.05,-0.1,-0.12,-0.06,0.01,0.13,0.02,-0.07,0.05,-0.14,0.11,0.05,-0.03
13,Other nondurable goods,0.13,0.16,0.18,0.14,0.57,0.06,0.3,0.02,0.1,-0.01,0.06,0.25,0.08,0.32,0.32,-0.02,0.07,0.41,0.28
14,Services,2.2,1.3,1.35,2.3,5.85,4.48,1.95,1.05,2.09,1.55,0.96,1.67,0.73,0.96,1.6,1.55,1.27,1.31,1.41
15,Household consumption expenditures (for services),2.03,1.41,1.21,2.76,6.35,4.4,1.68,0.69,1.79,1.48,1.17,2.0,0.81,0.95,1.63,1.27,0.94,1.14,1.43
16,Housing and utilities,0.34,0.06,0.12,0.46,0.19,0.34,0.19,0.67,0.33,-0.05,0.3,-0.22,0.06,0.25,-0.03,0.09,0.23,0.1,0.13
17,Health care,0.46,0.66,0.62,-0.14,1.38,0.78,0.58,0.05,0.14,0.61,0.79,1.04,0.31,0.35,0.85,0.76,0.35,0.79,0.53
18,Transportation services,0.2,0.01,0.08,0.2,1.01,0.95,0.19,-0.05,-0.01,-0.01,-0.02,0.02,0.05,0.0,0.11,0.01,0.31,-0.1,0.08
19,Recreation services,0.28,0.1,0.05,0.56,0.82,0.66,0.44,0.04,0.23,0.05,0.14,0.16,-0.01,0.08,0.02,0.07,0.05,0.01,0.12
20,Food services and accommodations,0.42,0.19,0.06,0.78,2.09,0.75,-0.01,-0.06,0.98,0.2,-0.04,0.31,-0.11,0.28,0.27,-0.12,-0.01,0.07,0.14
