2,Less: Taxes on corporate income,579.3,624.7,673.1,648,648.1,675.7,673.7,694.9,7.8,7.8.1,0,4.3,-0.3,3.1,7.2
3,Equals: Profits after tax with inventory valuation and capital consumption adjustments,2737.5,2921.8,3154.7,3101.8,3036.7,3141.6,3128.5,3312.0,6.7,8,-2.1,3.5,-0.4,5.9,6.8
4,Net dividends,1921.9,1938.0,1992.1,1960.8,1995.8,1996.0,1982.8,1993.6,0.8,2.8,1.8,0,-0.7,0.5,1.7
5,Undistributed profits with inventory valuation and capital consumption adjustments,815.6,983.8,1162.6,1141.0,1040.9,1145.5,1145.7,1318.4,20.6,18.2,-8.8,10,0,15.1,15.5
6,Net cash flow with inventory valuation adjustment,3053.4,3485.1,3740.7,3643.6,3551.1,3720.9,3736.4,3954.3,14.1,7.3,-2.5,4.8,0.4,5.8,8.5
7,Undistributed profits with inventory valuation and capital consumption adjustments,815.6,983.8,1162.6,1141.0,1040.9,1145.5,1145.7,1318.4,20.6,18.2,-8.8,10,0,15.1,15.5
8,Consumption of fixed capital,2288.7,2454.6,2595.0,2501.6,2533.1,2574.2,2616.4,2656.4,7.2,5.7,1.3,1.6,1.6,1.5,6.2
9,Less: Capital transfers paid (net),50.9,-46.6,17.0,-1.0,22.9,-1.1,25.7,20.5,....,....,....,....,....,....,....
10,Profits before tax (without inventory valuation and capital consumption adjustments),3529.8,3693.4,4113.7,3887.7,3963.0,4088.7,4076.7,4326.3,4.6,11.4,1.9,3.2,-0.3,6.1,11.3
11,Profits after tax (without inventory valuation and capital consumption adjustments),2950.6,3068.8,3440.6,3239.6,3314.9,3413.0,3403.0,3631.4,4,12.1,2.3,3,-0.3,6.7,12.1
12,Inventory valuation adjustment,-141.1,29.8,-15.6,40.4,-17.1,-3.9,-0.5,-40.9,....,....,....,....,....,....,....
13,Capital consumption adjustment,-72.0,-176.8,-270.3,-178.2,-261.1,-267.6,-274.0,-278.5,....,....,....,....,....,....,....
 ,,,,,,,,,,,,,,,,
